2177,100,-9.7
2177,101,22
2177,102,6
2177,103,-9.7
2177,104,-8
2177,105,6
2177,106,16
2177,107,1
2177,108,5
2177,109,10
2177,110,20
2177,111,0
2177,112,3
2177,113,26
2177,114,0
2177,115,29
2177,116,22
2177,117,21
2177,118,0
2177,119,18
2177,120,7
2177,121,11
2177,122,10
2177,123,7
2177,124,18
2177,125,10
2177,126,-9.8
2177,127,12
2177,128,1
2177,129,-9.8
2177,130,0
2177,131,6
2177,132,-10
2177,133,4
2177,134,4
2177,135,4
2177,136,1
2177,137,-19.5
2177,138,7
2177,139,3
2177,140,3
2177,141,5
2177,142,4
2177,143,-7
2177,144,3
2177,145,4
2177,146,6
2177,147,4
2177,148,5
2177,149,3
2177,150,3
2177,151,5
2177,152,4
2177,153,4
2177,154,3
2177,155,6
2177,156,5
2177,157,5
2177,158,5
2177,159,5
2177,160,8
2177,161,3
2177,162,4
2177,163,0
2177,164,0
2177,165,3
2177,166,4
2177,167,3
2177,168,3
2177,169,4
2177,170,3
2177,171,3
2177,172,4
2177,173,6
2177,174,3
2177,175,2
2177,176,-9.7
2177,177,7
2177,178,3
2177,179,3
2177,180,5
2177,181,1
2177,182,3
2177,183,2
2177,184,-9.5
2177,185,3
2177,186,3
2177,187,0
2177,188,3
2177,189,-9.7
2177,190,3
2177,191,3
2177,192,5
2177,193,4
2177,194,1
2177,195,4
2177,196,3
2177,197,0
2177,198,4
2177,199,3
2177,200,2
2177,99,3
2177,98,-9.7
2177,97,0
2177,96,3
2177,95,3
2177,94,0
2177,93,-2
2177,92,-7
2177,91,3
2177,90,4
2177,89,3
2177,88,3
2177,87,3
2177,86,-5
2177,85,3
2177,84,3
2177,83,-9.7
2177,82,-1
2177,81,3
2177,80,4
2177,79,2
2177,78,7
2177,77,-9.7
2177,76,-2
2177,75,-10
2177,74,6
2177,73,3
2177,72,1
2177,71,3
2177,70,-9.7
2177,69,3
2177,68,3
2177,67,3
2177,66,3
2177,65,1
2177,64,2
2177,63,3
2177,62,-19.8
2177,61,3
2177,60,-9.7
2177,59,3
2177,58,3
2177,57,3
2177,56,-7
2177,55,3
2177,54,-9.8
2177,53,3
2177,52,3
2177,51,3
2177,50,0
2177,49,4
2177,48,3
2177,47,-2
2177,46,3
2177,45,1
2177,44,-9.8
2177,43,-9.8
2177,42,-9.5
2177,41,1
2177,40,3
2177,39,3
2177,38,3
2177,37,-9.8
2177,36,3
2177,35,3
2177,34,-10
2177,33,-6
2177,32,-10
2177,31,3
2177,30,4
2177,29,3
2177,28,4
2177,27,3
2177,26,3
2177,25,-9.5
2177,24,3
2177,23,3
2177,22,3
2177,21,-9.7
2177,20,0
2177,19,-9.8
2177,18,-10
2177,17,3
2177,16,3
2177,15,3
2177,14,3
2177,13,-9.8
2177,12,-9
2177,11,-9.7
2177,10,-9.5
2177,9,0
2177,8,-9.7
2177,7,3
2177,6,-9
2177,5,-1
2177,4,-9.8
2177,3,1
2177,2,5
2177,1,3
