1,    18
10,    4
100,    8
1000,    7
1001,    3
1002,    10
1003,    1
1004,    17
1005,    4
1006,    6
1007,    1
1008,    3
1009,    2
101,    24
1010,    4
1011,    2
1012,    3
1013,    3
1015,    4
1016,    2
1017,    1
1018,    0
102,    5
1020,    2
1021,    1
1022,    3
1023,    6
1024,    5
1025,    10
1026,    3
1027,    6
1029,    17
103,    3
1030,    0
1031,    7
1032,    7
1033,    9
1035,    8
1036,    12
1037,    12
1038,    7
104,    6
1040,    6
1041,    3
1042,    0
1043,    1
1044,    12
1045,    12
1046,    4
1047,    3
1048,    5
1049,    2
105,    17
1050,    0
1051,    10
1052,    17
1053,    16
1054,    29
1055,    2
1056,    31
1057,    4
1058,    15
1059,    9
106,    13
1060,    9
1061,    2
1062,    3
1063,    3
1064,    5
1065,    2
1066,    5
1067,    7
1068,    3
1069,    11
107,    3
1070,    1
1071,    5
1072,    14
1073,    6
1074,    7
1076,    6
1077,    7
1078,    11
1079,    5
108,    1
1080,    8
1081,    7
1082,    11
1083,    3
1084,    1
1085,    6
1086,    9
1087,    3
1088,    7
1089,    15
109,    6
1090,    5
1091,    3
1092,    5
1093,    4
1094,    5
1095,    4
1096,    8
1097,    2
1098,    5
1099,    1
11,    2
110,    11
1100,    2
1101,    9
1102,    1
1103,    8
1104,    9
1105,    5
1106,    3
1107,    9
1108,    2
1109,    7
111,    8
1110,    4
1111,    9
1113,    8
1114,    8
1115,    5
1117,    12
1118,    15
1119,    3
112,    1
1120,    2
1121,    12
1122,    2
1124,    26
1125,    3
1126,    2
1127,    5
1128,    13
1129,    6
113,    4
1130,    8
1131,    8
1132,    4
1133,    7
1135,    3
1137,    4
1138,    1
1139,    4
114,    3
1140,    53
1141,    7
1142,    5
1143,    9
1144,    6
1145,    1
1146,    0
1147,    7
1148,    4
1149,    5
115,    2
1150,    6
1151,    3
1152,    13
1153,    4
1154,    3
1155,    15
1156,    4
1157,    8
1158,    1
1159,    3
116,    7
1160,    9
1161,    5
1162,    18
1163,    5
1164,    10
1165,    5
1166,    19
1167,    0
1169,    1
117,    4
1170,    4
1171,    10
1172,    2
1173,    1
1174,    1
1175,    3
1176,    6
1177,    7
1178,    2
1179,    2
118,    10
1180,    2
1181,    10
1183,    6
1184,    11
1185,    6
1186,    8
1187,    5
1188,    6
119,    3
1190,    10
1191,    3
1192,    4
1193,    2
1194,    5
1195,    3
1196,    15
1197,    5
1198,    5
1199,    3
12,    24
120,    1
1200,    24
1201,    1
1202,    4
1203,    11
1204,    3
1205,    2
1206,    0
1207,    6
1208,    5
1209,    7
121,    11
1210,    11
1211,    9
1212,    2
1214,    2
1215,    1
1216,    2
1217,    8
1218,    22
1219,    4
122,    4
1220,    3
1221,    6
1222,    4
1223,    7
1224,    6
1225,    7
1226,    2
1227,    4
1229,    5
123,    5
1231,    36
1232,    0
1233,    10
1234,    13
1235,    17
1236,    3
1237,    3
1238,    2
1239,    4
1241,    2
1242,    12
1243,    1
1244,    2
1245,    5
1246,    8
1247,    7
125,    6
1250,    5
1251,    4
1252,    4
1253,    3
1255,    29
1256,    2
1257,    12
1258,    2
1259,    7
126,    3
1260,    7
1261,    7
1262,    3
1263,    6
1264,    3
1265,    1
1266,    3
1267,    11
1268,    5
127,    2
1270,    3
1271,    5
1272,    6
1273,    1
1274,    6
1275,    8
1276,    6
1277,    2
1278,    6
1279,    14
128,    7
1280,    0
1281,    21
1282,    3
1283,    9
1285,    2
1286,    15
1287,    1
1288,    6
129,    0
1290,    6
1292,    2
1293,    0
1294,    11
1295,    3
1296,    7
1297,    4
1298,    1
1299,    0
13,    5
130,    3
1300,    7
1301,    14
1302,    7
1303,    3
1304,    4
1305,    3
1306,    8
1307,    3
1308,    8
1309,    3
131,    0
1310,    5
1311,    5
1312,    6
1314,    0
1315,    7
1316,    2
1318,    8
1319,    5
132,    3
1321,    1
1323,    28
1324,    4
1325,    4
1326,    3
1327,    2
1328,    6
1329,    1
133,    9
1330,    5
1331,    5
1332,    10
1333,    9
1334,    6
1337,    1
1338,    12
1339,    5
134,    13
1340,    2
1341,    15
1342,    1
1343,    8
1344,    2
1345,    3
1346,    7
1347,    8
1348,    4
1349,    7
135,    4
1350,    1
1351,    7
1352,    4
1353,    4
1354,    1
1355,    2
1356,    1
1357,    1
1358,    1
1359,    9
136,    2
1360,    5
1361,    10
1362,    3
1363,    2
1364,    3
1365,    2
1366,    11
1367,    32
1368,    29
1369,    1
137,    13
1370,    4
1371,    5
1372,    0
1374,    18
1375,    3
1376,    5
1377,    10
1378,    15
1379,    11
138,    4
1380,    4
1381,    14
1382,    10
1383,    20
1384,    4
1385,    7
1386,    5
1387,    5
1388,    2
1389,    6
139,    7
1390,    1
1391,    22
1392,    3
1393,    5
1394,    10
1395,    4
1396,    4
1397,    7
1398,    6
1399,    4
14,    13
140,    3
1400,    2
1401,    7
1402,    5
1403,    4
1404,    5
1405,    4
1406,    2
1407,    3
1408,    15
141,    5
1410,    2
1411,    26
1412,    10
1413,    2
1414,    2
1415,    2
1416,    26
1417,    5
1418,    15
1419,    5
142,    4
1420,    5
1421,    3
1422,    7
1423,    3
1424,    3
1425,    1
1427,    4
1428,    4
1429,    5
143,    14
1432,    7
1433,    3
1434,    5
1435,    4
1436,    2
1437,    4
1438,    0
1439,    3
144,    2
1440,    1
1441,    7
1442,    2
1443,    1
1444,    4
1445,    6
1446,    5
1447,    12
1448,    4
145,    1
1450,    9
1453,    0
1454,    2
1456,    3
